id_estacao,data_medicao,coleta,ponto,data_inicio,data_fim,ph,temperatura_do_ar,temperatura_da_agua,salinidade,oxigenio_dissolvido,turbidez,disco_de_secchi,profundidade_total,profundidade_de_coleta,coliformes_totais,escherichia_coli,nitrogenio_amoniacal,fosforo_total_mg_l,fosforo_total_mg_kg,fosfato_total,nitrato,silica,sulfeto,materia_organica
1,2023-09-29 11:07:00,Regular,LRF2 - Fundo,2023-09-29 11:04:00,2023-09-29 11:07:00,8.24,,25.4,9.8,4.4,2.4,,,3.2,,,0.09,0.1,,0.046,0.08,3.4,<0.1 ,
1,2023-10-16 12:30:00,Regular,LRF2 - Fundo,2023-10-16  12:27,2023-10-16 12:30:00,7.25,,25.4,11.2,1.48,<1.5 ,,,3.2,,,<0.016 ,0.091,,0.027,<0.05 ,4.1,<0.1 ,
1,2024-10-16 12:30:00,Regular,LRF2 - Fundo,2024-10-16  12:27,2024-10-16 12:30:00,7.25,,25.4,11.2,1.48,<1.5 ,,,3.2,,,<0.016 ,0.091,,0.027,<0.05 ,4.1,<0.1 ,
1,2022-11-09 12:02:00,Regular,LRF2 - Fundo,2022-11-09 11:59:00,2022-11-09 12:02:00,7.2,,25.4,14.5,3.63,3.52,,,3.2,,,0.111,0.133,,0.028,<0.05,2.5,<0.1,
1,2024-09-29 11:07:00,Regular,LRF2 - Fundo,2024-09-29 11:04:00,2024-09-29 11:07:00,8.24,,25.4,9.8,4.4,2.4,,,3.2,,,0.09,0.1,,0.046,0.08,3.4,<0.1 ,
1,2023-09-18 11:30:00,Regular,LRF2 - Meio Afótico,2023-09-18 11:27:00,2023-09-18 11:30:00,8.98,,25.4,11.5,10.29,3.21,,,0.2,,,0.246,0.105,,0.027,0.08,9.8,<0.1,
1,2024-09-18 11:30:00,Regular,LRF2 - Meio Afótico,2024-09-18 11:27:00,2024-09-18 11:30:00,8.98,,25.4,11.5,10.29,3.21,,,0.2,,,0.246,0.105,,0.027,0.08,9.8,<0.1,
1,2023-10-16 11:36:00,Regular,LRF3 - Fundo,2023-10-16  11:33,2023-10-16 11:36:00,7.37,,25.4,10.8,2.5,<1.5 ,,,3.1,,,<0.016 ,0.064,,0.019,<0.05 ,3.7,<0.1 ,
1,2024-10-16 11:36:00,Regular,LRF3 - Fundo,2024-10-16  11:33,2024-10-16 11:36:00,7.37,,25.4,10.8,2.5,<1.5 ,,,3.1,,,<0.016 ,0.064,,0.019,<0.05 ,3.7,<0.1 ,
1,2024-04-30 10:06:00,Extra,LRF4 - Superfície,2024-04-30 10:03:00,2024-04-30 10:06:00,,,25.5,,5.29,,,,,,,,,,,,,,
1,2023-04-30 09:58:00,Extra,LRF2 - Superfície,2023-04-30 09:55:00,2023-04-30 09:58:00,,,25.5,,5.59,,,,,,,,,,,,,,
1,2023-04-30 10:01:00,Extra,LRF2 - Fundo,2023-04-30 09:58:00,2023-04-30 10:01:00,,,25.5,,4.09,,,,,,,,,,,,,,
1,2024-04-30 10:21:00,Extra,LRF5 - Superfície,2024-04-30 10:18:00,2024-04-30 10:21:00,,,25.5,,6.03,,,,,,,,,,,,,,
1,2024-04-30 09:58:00,Extra,LRF2 - Superfície,2024-04-30 09:55:00,2024-04-30 09:58:00,,,25.5,,5.59,,,,,,,,,,,,,,
1,2024-04-30 10:01:00,Extra,LRF2 - Fundo,2024-04-30 09:58:00,2024-04-30 10:01:00,,,25.5,,4.09,,,,,,,,,,,,,,
1,2023-04-30 10:21:00,Extra,LRF5 - Superfície,2023-04-30 10:18:00,2023-04-30 10:21:00,,,25.5,,6.03,,,,,,,,,,,,,,
1,2023-04-30 10:06:00,Extra,LRF4 - Superfície,2023-04-30 10:03:00,2023-04-30 10:06:00,,,25.5,,5.29,,,,,,,,,,,,,,
1,2024-09-13 12:13:00,Regular,LRF3 - Meio Afótico,2024-09-13 12:10:00,2024-09-13 12:13:00,9.07,,25.5,10.5,10.9,4.12,,,2.0,,,0.141,0.05,,0.019,<0.05,1.658,0.1,
1,2022-05-11 12:07:00,Regular,LRF3 - Meio Afótico,2022-05-11 12:04:00,2022-05-11 12:07:00,8.51,,25.5,10.3,5.09,4.66,,,2.0,,,0.28,0.069,,<0.016,<0.05,1.1,<0.1,
1,2024-09-29 09:59:00,Regular,LRF3 - Meio Afótico,2024-09-29 09:56:00,2024-09-29 09:59:00,8.5,,25.5,9.6,6.27,3.8,,,2.0,,,0.1,0.13,,0.059,0.12,4.1,<0.1 ,
